Name,Album,Artists
Luminous Monolith,Fuchsia Swing Song,"Sam Rivers, Jaki Byard, Ron Carter, Tony Williams"
Tribute to Alice Coltrane,When the World Was One,"Matthew Halsall, The Gondwana Orchestra"
The Last Goodbye,Payton's Place,Nicholas Payton
I Cover The Waterfront,Nostalgia,Annie Lennox
Wake The Neighbors,Heroes + Misfits,Kris Bowers
Doin' It,Secrets,Herbie Hancock
Handful of Keys - Remastered 2000,Fats Waller: Very Best of Fats Waller,Fats Waller
Blame It On My Youth,Flirting With Twilight,Kurt Elling
Let's Call The Whole Thing Off,Ella And Louis Again,"Ella Fitzgerald, Louis Armstrong"
Haupe,Anatomy Of A Murder,Duke Ellington
